Dish_Name,Ingredients
Roti,"Wheat Flour, Water, Salt, Oil, Ghee (optional), Sugar (optional)"
Parota,"Maida (All-Purpose Flour), Ghee, Salt, Water, Oil, Sugar (optional)"
"Cylon/Kerala Parota","Maida, Egg, Milk, Ghee, Salt, Water, Oil, Sugar (optional)"
"Idly (3 Pcs)","Rice, Urad Dal, Salt, Fenugreek Seeds, Water, Oil (for greasing)"
"Plain Dosa (2 Pcs)","Rice, Urad Dal, Salt, Oil, Water, Fenugreek Seeds (optional)"
"Masala Dosa","Rice, Urad Dal, Salt, Potato, Onion, Green Chili, Turmeric, Oil, Mustard Seeds, Curry Leaves, Water"
"Onion Dosa","Rice, Urad Dal, Salt, Onion, Coriander, Oil, Green Chili (optional), Water"
"Set Dosa (3 Pcs)","Rice, Urad Dal, Fenugreek Seeds, Salt, Water, Oil (for cooking)"
"Poori Bajji (3 Pcs)","Wheat Flour, Water, Salt, Potato, Turmeric, Curry Leaves, Oil, Green Chili, Mustard Seeds, Spices"
"Veg Meals","Rice, Dal, Papad, Cabbage, Potato, Curry Leaves, Spices, Oil, Tomato, Onion, Green Chili, Salt"
"Plain Rice","Rice, Water, Salt (optional)"
"Ghee Rice","Rice, Ghee, Cashew, Bay Leaf, Salt, Cloves, Cardamom, Cinnamon, Water"
"Masala Rice","Rice, Spices (Cumin, Coriander, Turmeric), Onion, Tomato, Oil, Green Chili, Salt, Water"
"Chicken Biryani","Rice, Chicken, Yogurt, Biryani Masala, Ghee, Onion, Tomato, Garlic, Ginger, Mint, Coriander, Spices"
"Egg Biryani","Rice, Eggs, Biryani Masala, Onion, Ghee, Tomato, Garlic, Ginger, Mint, Coriander, Spices, Yogurt"
"Mutton Biryani","Rice, Mutton, Yogurt, Biryani Masala, Onion, Ghee, Tomato, Garlic, Ginger, Mint, Coriander, Spices"
"Jeera Rice","Rice, Cumin Seeds, Ghee, Salt, Water, Bay Leaf (optional), Cloves (optional)"
"Chicken Curry","Chicken, Onion, Tomato, Garlic, Ginger, Spices (Turmeric, Coriander, Cumin), Oil, Salt, Coriander"
"Kabab Full (8 Pcs)","Chicken, Yogurt, Spices (Garam Masala, Red Chili), Garlic, Ginger, Salt, Oil, Lemon Juice"
"Kabab Half (4 Pcs)","Chicken, Yogurt, Spices (Garam Masala, Red Chili), Garlic, Ginger, Salt, Oil, Lemon Juice"
"Chilly Chicken (Full 12 Pcs)","Chicken, Capsicum, Soy Sauce, Vinegar, Garlic, Onion, Ginger, Corn Flour, Oil, Green Onion, Spices"
"Chilly Chicken (Half 6 Pcs)","Chicken, Capsicum, Soy Sauce, Vinegar, Garlic, Onion, Ginger, Corn Flour, Oil, Green Onion, Spices"
"Chicken Masala","Chicken, Onion, Tomato, Garlic, Spices (Cumin, Coriander, Turmeric), Oil, Ginger, Salt, Coriander"
"Chicken Kosha","Chicken, Onion, Tomato, Mustard Oil, Spices (Cumin, Bay Leaf), Garlic, Ginger, Salt, Yogurt"
"Chicken Do Pyaza","Chicken, Onion, Garlic, Ginger, Spices (Turmeric, Coriander), Tomato, Oil, Salt, Green Chili"
"Butter Chicken","Chicken, Butter, Tomato, Cream, Spices (Garam Masala, Cumin), Garlic, Ginger, Salt, Sugar"
"Chicken Pepper Masala","Chicken, Black Pepper, Garlic, Onion, Spices (Coriander, Turmeric), Oil, Salt, Green Chili"
"Chicken Fry","Chicken, Flour, Egg, Spices (Red Chili, Turmeric), Oil, Salt, Garlic, Ginger, Lemon Juice"
"Chicken Fried Rice","Rice, Chicken, Egg, Soy Sauce, Garlic, Onion, Carrot, Capsicum, Oil, Green Onion, Salt"
"Egg Fried Rice","Rice, Egg, Soy Sauce, Garlic, Onion, Carrot, Capsicum, Oil, Green Onion, Salt"
"Veg Fried Rice","Rice, Carrot, Capsicum, Soy Sauce, Onion, Garlic, Oil, Green Onion, Salt, Beans"
"Chicken Noodles","Noodles, Chicken, Soy Sauce, Garlic, Onion, Capsicum, Oil, Green Onion, Salt, Ginger"
"Egg Noodles","Noodles, Egg, Soy Sauce, Garlic, Onion, Capsicum, Oil, Green Onion, Salt, Ginger"
"Veg Noodles","Noodles, Carrot, Capsicum, Soy Sauce, Onion, Garlic, Oil, Green Onion, Salt, Beans"
"Egg Masala (Single)","Egg, Tomato, Spices (Cumin, Turmeric), Onion, Oil, Garlic, Ginger, Salt, Coriander"
"Egg Masala (Double)","Egg, Tomato, Spices (Cumin, Turmeric), Onion, Oil, Garlic, Ginger, Salt, Coriander"
"Egg Burji (2 Eggs)","Egg, Onion, Tomato, Green Chili, Oil, Salt, Spices (Cumin, Turmeric), Coriander"
"Omlet (Single)","Egg, Salt, Pepper, Oil, Onion (optional), Green Chili (optional), Coriander (optional)"
"Omlet (Double)","Egg, Salt, Pepper, Oil, Onion (optional), Green Chili (optional), Coriander (optional)"
"Egg Torka","Egg, Dal, Onion, Garlic, Spices (Cumin, Turmeric), Oil, Tomato, Salt, Green Chili"
"Egg Chilly","Egg, Capsicum, Soy Sauce, Garlic, Onion, Oil, Ginger, Corn Flour, Green Onion, Spices"
"Mutton Masala (Kosha/Fry/Kadai)","Mutton, Onion, Garlic, Ginger, Spices (Garam Masala, Turmeric), Oil, Tomato, Salt, Yogurt"
"Bangda Fry (Ayala)","Fish (Bangda), Turmeric, Salt, Mustard Oil, Red Chili Powder, Lemon Juice, Ginger, Garlic"
"Katla (Fry/Curry)","Fish (Katla), Mustard Oil, Spices (Cumin, Turmeric), Onion, Tomato, Garlic, Ginger, Salt"
"Rohu (Fry/Curry)","Fish (Rohu), Mustard Oil, Spices (Cumin, Turmeric), Tomato, Onion, Garlic, Ginger, Salt"
"Math Curry","Fish, Spices (Cumin, Coriander), Garlic, Onion, Tomato, Oil, Ginger, Salt, Green Chili"
"Dhal Fry","Dal, Garlic, Curry Leaves, Oil, Cumin Seeds, Tomato, Onion, Turmeric, Salt, Green Chili"
"Butter Dhal Fry","Dal, Butter, Garlic, Curry Leaves, Oil, Cumin Seeds, Tomato, Onion, Turmeric, Salt, Green Chili"
"Green Peas Masala","Green Peas, Tomato, Onion, Spices (Cumin, Coriander), Oil, Garlic, Ginger, Salt, Cream (optional)"
"Tomato Fry","Tomato, Onion, Garlic, Spices (Cumin, Turmeric), Oil, Salt, Green Chili, Coriander"
"Aloo Mutter/Aloo Gobi","Potato, Peas, Cauliflower, Spices (Cumin, Turmeric), Tomato, Onion, Oil, Garlic, Ginger, Salt"
"Kashmiri Aloo Dum","Potato, Yogurt, Spices (Fennel, Cardamom), Dry Fruits (Cashew, Raisins), Oil, Tomato, Ginger, Salt"
"Gobi Manchurian","Cauliflower, Soy Sauce, Garlic, Ginger, Corn Flour, Capsicum, Onion, Oil, Green Onion, Spices"
"Mutter Paneer","Paneer, Peas, Tomato, Onion, Spices (Cumin, Garam Masala), Cream, Oil, Garlic, Ginger, Salt"
"Paneer Butter Masala","Paneer, Butter, Tomato, Cream, Spices (Garam Masala, Cumin), Garlic, Ginger, Salt, Sugar"
